date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-05-23,79611.80345833,71629.25720833,77224.80237501,79935.18838011457,76386.0463273236,76510.39494262812,72781.38137291584,79450.55709171198,65734.96987412802
2025-05-24,73042.53608333001,71629.25720833,74816.18320834,79945.82400952732,70750.07584437385,70228.6805760293,72762.01300268315,73432.71401578841,59423.324079455466
2025-05-25,66530.36479167,71629.25720833,70248.53175001,79956.45963894007,65164.93757449403,64652.544282678486,72726.39415899395,67471.88118558565,53284.17035204693
2025-05-26,76680.77570833999,71629.25720833,74499.63329166,79967.09526835282,74740.34767305625,75163.26254694181,72699.24849432649,78297.79295377081,63542.42022183449
2025-05-27,78756.6945,71629.25720833,71629.25720833,79977.73089776556,76296.42782609435,76727.03060734089,72698.0391194426,80223.90194682695,65014.27698159257
2025-05-28,78641.63516666,71629.25720833,66416.57704167,79988.36652717831,76579.30341464006,76602.21351240005,72722.39225174823,80701.03942422236,65178.952391904335
2025-05-29,76742.347,71629.25720833,75394.72508333,79999.00215659106,76494.02001131649,77014.79109638194,72754.7017807767,80738.1625142205,65093.27352330759
2025-05-30,76935.43695833,71629.25720833,77224.80237501,80009.6377860038,75965.9292045052,76440.75007056088,72772.38450256814,80397.8238295064,64512.828470505265
2025-05-31,71325.859625,71629.25720833,74816.18320834,80020.27341541655,70086.49438114392,70159.06957579042,72764.15613066177,74291.75200769752,58047.73884275775
2025-06-01,65688.15720834,71629.25720833,70248.53175001,80030.9090448293,64949.5168910618,64582.96715426794,72737.25570727895,68028.06043857848,53267.37566753533
2025-06-02,76953.91500000001,71629.25720833,74499.63329166,80041.54467424205,74845.5780631764,75093.71929035962,72710.79937839495,78809.85530504269,63601.86538155717
2025-06-03,79351.06095833,71629.25720833,71629.25720833,80052.1803036548,76416.63323703139,76657.52122258703,72702.32979527183,80613.01086183365,65085.29599474731
2025-06-04,79569.34133333,71629.25720833,66416.57704167,80062.81593306754,76714.4991481246,76532.73799947454,72716.65088891081,80956.53611545688,65261.781243689205
2025-06-05,79927.006,71629.25720833,75394.72508333,80073.45156248029,76644.20978189434,76945.34945528478,72743.02891546678,80842.55664493864,65188.139033335836
2025-06-06,79627.15966666001,71629.25720833,77224.80237501,80084.08719189304,76131.1056899261,76371.34230129207,72762.81992758534,80256.48220106454,64619.948425068054
2025-06-07,74062.51295834,71629.25720833,74816.18320834,80094.72282130578,70524.95836322216,70089.69567834995,72762.87024289666,74014.42101756891,58331.57560712954
